OutletId,Outlet,ProductId,Name,UnitOfMeasureId,UOM,Barcode,OpeningQuantity,DeliveryQuantity,SoldQuantity
1,LYD NISA,22022,IND ICED BAKEWELL TART,1,Each,5017840008191,4,0,4
1,LYD NISA,2203,IND ICED LEMON TART,1,Each,5017840007804,4,0,11
1,LYD NISA,26596,IVG 2400 Recharge Blue Edition,1,Each,5056796857019,0,0,5
1,LYD NISA,13827,IVG 2400 Recharge Blueberry Edtn,1,Each,5056796857309,0,0,5
1,LYD NISA,4557,IVG 2400 Recharge Fizzy Cherry,1,Each,5056796856319,4,0,9
1,LYD NISA,21058,IVG 2400 Recharge Juicy Edition,1,Each,5056796857088,3,0,3
1,LYD NISA,27036,IVG 2400 Recharge Purple Edition,1,Each,5056796857040,0,0,5
1,LYD NISA,20819,IVG 2400 Recharge Specl Edition,1,Each,5056796857101,0,0,5
1,LYD NISA,9091,IVG Savr 3000 Kit Blu Razz Lemon,1,Each,5056796833877,4,0,4
1,LYD NISA,22167,IVG Savr 3000 Kit Blue Sour Rasp,1,Each,5056796833884,1,0,1
1,LYD NISA,1787,IVG Savr 3000 Kit Blueberry,1,Each,5056796833891,10,0,8
1,LYD NISA,23199,IVG Savr 3000 Kit Cherry Ice,1,Each,5056796833914,4,0,9
1,LYD NISA,17230,IVG Savr 3000 Kit Class Menthol,1,Each,5056796833921,3,0,3
1,LYD NISA,12667,IVG Savr 3000 Kit Lemon Lime,1,Each,5056796834003,3,0,3
1,LYD NISA,27513,IVG Savr 3000 Kit Pineapple Ice,1,Each,5056796834058,2,0,7
1,LYD NISA,6070,IVG Savr 3000 Kit Pink Lemonade,1,Each,5056796834065,7,0,7
1,LYD NISA,12276,IVG Savr 3000 Kit Strawberry Ice,1,Each,5056796834096,4,0,4
1,LYD NISA,22427,IVG Savr 3000 Kit Watermelon Ice,1,Each,5056796834133,5,0,5
1,LYD NISA,20039,J/DANIEL DST DANIEL TENNS APP,1,Each,5099873017623,4,0,0
1,LYD NISA,3482,JAGERMEI PM £6.99 (4),1,Each,42428138,15,0,1
1,LYD NISA,26955,JALEPENO PARTY MIX,1,Each,5027017267252,1,0,1
1,LYD NISA,19137,JAM MALLOWS,1,Each,87071900013,0,0,5
1,LYD NISA,25918,Jar Rock Annie/SS- Pink,1,Each,5055540736389,2,0,2
1,LYD NISA,1928,Jar Rock Gin and Tonic,1,Each,5055540730431,3,0,1
1,LYD NISA,7482,Jar Rock New George/SS- Blue,1,Each,"5055540735979,5055540735993",7,0,7
1,LYD NISA,22958,Jar Rock New Jaz/SS- Yellow,1,Each,5055540735986,19,0,1
1,LYD NISA,11817,Jar Rock Prosecco,1,Each,5055540730424,4,0,0
1,LYD NISA,8392,Jar Rock Rory - Orange,1,Each,5055540730578,15,0,3
1,LYD NISA,7071,JAZ BUBBLE GUN,1,Each,617285316544,13,0,0
1,LYD NISA,18605,JAZ BUBBLE GUN POT,1,Each,617285316582,4,0,2
1,LYD NISA,12717,JAZ BUBBLE WAND,1,Each,617285316629,10,0,0
1,LYD NISA,22888,JAZ BUBBLEWAND POT REFILL,1,Each,617285316667,5,0,0
1,LYD NISA,2795,JAZ BUNNY OUTFIT,1,Each,617285317831,0,0,1
1,LYD NISA,7254,JAZ LANYARD,1,Each,617285317213,25,0,3
1,LYD NISA,1697,JAZ LARGE PLUSH,1,Each,617285316421,14,0,2
1,LYD NISA,4998,JAZ MEDIUM PLUSH,1,Each,617285316384,36,0,9
1,LYD NISA,27563,Jaz Medium Plush NEW,1,Each,617285318692,0,0,4
1,LYD NISA,12471,JAZ PJS OUTFIT,1,Each,617285317718,4,0,1
1,LYD NISA,15971,JAZ SLEEPING BAG OUTFIT,1,Each,617285317756,2,0,2
1,LYD NISA,13898,JAZ SMALL PLUSH,1,Each,617285316346,17,0,7
1,LYD NISA,27878,JAZ SNAPBAND,1,Each,617285317251,15,0,0
1,LYD NISA,11250,JAZ SUPERHERO OUTFIT,1,Each,617285317633,0,0,1
1,LYD NISA,17024,JAZ SUPERSQUAD OUTFIT,1,Each,617285317992,0,0,1
1,LYD NISA,6147,JAZ X-LARGE PLUSH,1,Each,617285316469,3,0,0
1,LYD NISA,10915,JELLYBALL FOODIES,1,Each,5025509174132,0,0,16
1,LYD NISA,14988,JELLYBALL FRIENDS,1,Each,5025509170547,0,0,13
1,LYD NISA,924,JURASSIC PERIOD BRICKS 4 IN 1,1,Each,5025509174002,0,0,8
1,LYD NISA,365,KELLOGGS COCO POPS,1,Each,5059319024479,0,0,4
1,LYD NISA,1146,KELLOGGS SPECIAL K PM £3.29,1,Each,5059319029047,4,0,1
